Date;Hour;Down;Up;Total;max Rate;avg Rate;avg Rate values;95% Rate
2016-02-06 22:00;22;32.503;30.513;63.016;742;397;5;742
2016-02-06 23:00;23;101.984;139.548;241.532;1321;641;45;1047
2016-02-07 00:00;0;49.706;49.635;99.341;1086;615;12;1086
2016-02-07 01:00;1;90.887;115.710;206.597;1594;655;32;1350
2016-02-07 02:00;2;50.040;53.911;103.951;1087;565;16;1087
2016-02-07 03:00;3;69.195;81.663;150.858;1203;538;24;993
2016-02-07 04:00;4;31.652;39.931;71.583;3365;688;10;3365
2016-02-07 05:00;5;52.916;61.826;114.742;1396;647;13;1396
2016-02-07 06:00;6;41.795;43.940;85.735;1182;437;7;1182
2016-02-07 07:00;7;202.947;291.356;494.303;1205;605;97;1155
2016-02-07 08:00;8;55.351;61.557;116.908;1333;682;14;1333
2016-02-07 09:00;9;34.182;32.733;66.915;826;499;6;826
2016-02-07 10:00;10;145.438;197.517;342.955;1273;610;68;1152
2016-02-07 11:00;11;190.908;283.202;474.110;2724;768;84;1425
2016-02-07 12:00;12;138.441;202.165;340.606;2461;774;56;1653
2016-02-07 13:00;13;205.184;273.867;479.051;1618;647;96;1189
2016-02-07 14:00;14;103.766;135.127;238.893;2077;671;39;1359
2016-02-07 15:00;15;33.432;26.991;60.423;404;341;3;404
2016-02-07 16:00;16;39.518;66.694;106.212;1707;787;7;1707
2016-02-07 17:00;17;52.043;85.067;137.110;8495;1096;16;8495
2016-02-07 18:00;18;88.455;270.858;359.313;18249;1832;32;11459
2016-02-07 19:00;19;397.216;2767.686;3164.902;10136;1010;466;1960
2016-02-07 20:00;20;197.907;289.485;487.392;1534;588;100;1139
2016-02-07 21:00;21;81.090;98.743;179.833;1425;646;31;1257
2016-02-07 22:00;22;134.105;193.662;327.767;1186;614;69;1083
2016-02-07 23:00;23;68.389;82.255;150.644;1563;644;20;1108
2016-02-08 00:00;0;226.195;324.677;550.872;1341;695;104;1127
2016-02-08 01:00;1;38.983;38.234;77.217;1161;785;7;1161
2016-02-08 02:00;2;34.673;33.805;68.478;949;515;3;949
2016-02-08 03:00;3;97.408;133.233;230.641;1276;564;41;1127
2016-02-08 04:00;4;33.018;41.406;74.424;3219;1530;4;3219
2016-02-08 05:00;5;34.153;32.353;66.506;1106;820;3;1106
2016-02-08 06:00;6;271.519;393.700;665.219;1388;668;136;1245
2016-02-08 07:00;7;114.781;154.519;269.300;1336;682;44;1166
2016-02-08 08:00;8;35.427;32.794;68.221;1340;1340;1;1340
2016-02-08 09:00;9;108.642;139.228;247.870;2466;757;43;1323
2016-02-08 10:00;10;39.970;43.549;83.519;1319;618;11;1319
2016-02-08 11:00;11;52.095;59.479;111.574;1106;618;18;1106
2016-02-08 12:00;12;50.296;33.366;83.662;4889;1465;5;4889
2016-02-08 13:00;13;33.646;56.437;90.083;7078;1660;7;7078
2016-02-08 14:00;14;226.206;300.913;527.119;2262;659;101;1212
2016-02-08 15:00;15;74.675;88.647;163.322;1134;487;34;1035
2016-02-08 16:00;16;53.934;61.016;114.950;1173;716;18;1173
2016-02-08 17:00;17;37.771;35.061;72.832;1144;646;9;1144
2016-02-08 18:00;18;33.169;26.486;59.655;1266;750;4;1266
2016-02-08 19:00;19;41.236;53.279;94.515;3419;929;9;3419
2016-02-08 20:00;20;64.751;83.850;148.601;1141;568;27;1046
2016-02-08 21:00;21;76.601;98.450;175.051;1047;495;34;1036
2016-02-08 22:00;22;137.023;199.168;336.191;1245;614;58;1083
2016-02-08 23:00;23;25.216;18.568;43.784;345;344;2;345
2016-02-09 00:00;0;24.547;18.146;42.693;190;0;0;0
2016-02-09 01:00;1;120.603;140.304;260.907;1449;641;43;1109
2016-02-09 02:00;2;62.850;77.461;140.311;1138;604;24;1106
2016-02-09 03:00;3;24.229;17.941;42.170;315;315;1;315
2016-02-09 04:00;4;27.811;18.716;46.527;227;0;0;0
2016-02-09 05:00;5;159.979;243.803;403.782;3562;733;76;1685
2016-02-09 06:00;6;210.846;893.098;1103.944;35588;1435;111;4096
2016-02-09 07:00;7;78.197;98.422;176.619;1255;611;32;1131
2016-02-09 08:00;8;52.183;57.588;109.771;1062;535;18;1062
2016-02-09 09:00;9;23.265;23.428;46.693;525;335;7;525
2016-02-09 10:00;10;23.089;17.312;40.401;226;0;0;0
2016-02-09 11:00;11;215.194;208.284;423.478;1397;484;127;885
2016-02-09 12:00;12;459.775;388.957;848.732;1058;459;294;621
2016-02-09 13:00;13;352.743;444.537;797.280;1299;676;165;1155
2016-02-09 14:00;14;819.648;1009.676;1829.324;2290;807;353;1392
2016-02-09 15:00;15;650.299;765.950;1416.249;2288;735;278;1212
2016-02-09 16:00;16;667.343;833.577;1500.920;2223;764;305;1441
